SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;NON_P_DOCKED_DURATION;P_DOCKED_DURATION;DOCKED_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
2SemDragagem2030;3562;23.0;225.0;0.0;0;0;0;1;15:40;0.0;0.33;0.0;0.33;0.0;0.08;0.08;4.32;66.67;66.58;;;;;;TIPLAM - GSA - E;GSA - E;;BERÇO TIPLAM 2;1;16:00;1;18:30;1;22:04;4;13:50;4;13:10;4;15:05
2SemDragagem2030;3563;23.0;225.0;0.0;0;0;0;1;15:40;0.0;3.83;0.0;3.83;0.0;0.17;0.17;3.13;65.5;65.33;;;;;;TIPLAM - GSA - E;GSA - E;;BERÇO TIPLAM 3;1;19:30;1;22:00;2;00:22;4;16:05;4;15:30;4;17:25
2SemDragagem2030;3564;23.0;195.0;10.25;0;0;0;1;15:44;0.0;4.58;0.0;4.58;0.0;0.0;0.0;2.37;87.42;87.42;;;;;;TIPLAM - GSM - I;GSM - I;;BERÇO TIPLAM 1;1;20:20;1;22:50;2;00:27;5;15:00;5;14:15;5;16:10
2SemDragagem2030;3565;23.0;185.0;0.0;0;0;0;1;16:44;0.0;3.75;0.08;3.83;0.0;0.33;0.33;5.74;36.08;35.75;;;;;;TRANSPETRO;GL;;BERÇO AL 01;1;20:35;1;22:30;2;03:29;3;11:00;3;10:35;3;12:05
2SemDragagem2030;3566;23.0;185.0;10.75;0;0;0;1;17:43;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.75;63.67;63.67;;;;;;VOPAK;GL;;BERÇO AL 03;1;19:45;1;21:20;1;21:20;4;13:45;4;13:00;4;14:50
2SemDragagem2030;3567;36.0;225.0;0.0;0;0;0;2;17:52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.15;103.17;103.17;;;;;;ARAUCO;CGNC;;BERÇO ARAUCO 1;2;17:55;2;20:05;2;23:29;7;04:00;7;03:15;7;05:00
2SemDragagem2030;3568;23.0;155.0;9.75;0;0;0;2;16:46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.17;47.08;47.08;;;;;;AGEO_TERMINAIS;GL;;BERÇO Ageo I;2;16:50;2;18:15;2;18:40;4;18:05;4;17:20;4;19:00
2SemDragagem2030;3569;23.0;275.0;13.75;0;0;0;2;17:49;39.67;0.0;1.33;41.0;2.92;0.08;3.0;3.21;20.92;17.92;;;;;;BTP;CGC;;BERÇO BTP 1;4;10:50;4;12:40;4;15:07;5;07:20;5;09:35;5;11:20
2SemDragagem2030;3570;23.0;305.0;13.75;0;0;0;2;17:20;40.33;0.17;1.75;42.25;0.17;0.17;0.33;1.87;22.92;22.58;;;;;;BTP;CGC;;BERÇO BTP 2;4;11:35;4;13:25;4;14:32;5;12:45;5;12:20;5;14:05
2SemDragagem2030;3571;23.0;325.0;13.75;0;0;0;2;17:48;39.67;0.0;0.0;39.67;23.83;0.33;24.17;5.11;50.0;25.83;;;;;;BTP;CGC;;BERÇO BTP 3;4;09:30;4;11:20;4;15:41;5;13:55;6;13:20;6;15:05
