SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S002;132;32.0;231.0;12.0;0;0;0;1;13:54;6.67;27.17;0.75;34.58;DPW;BERÇO DPW 1;3;00:30;3;02:05;3;02:05;3;16:10;3;16:25;3;17:40
S002;133;32.0;225.0;9.25;0;0;0;1;01:10;0.08;0.0;0.5;0.58;DPW CELULOSE;BERÇO DPW 3;1;01:45;1;03:15;1;03:15;3;12:00;3;12:00;3;13:10
S002;134;30.0;199.2;11.15;0;0;0;1;15:00;0.58;0.0;2.33;2.92;OUTROS_MACUCO;BERÇO ARM 35P1;1;17:55;1;19:00;1;19:00;2;07:20;2;08:20;2;09:05
S002;135;38.0;333.33;8.6;0;1;0;1;06:25;0.92;0.0;0.0;0.92;CONCAIS;BERÇO OUT 1;1;07:20;1;08:35;1;08:35;1;20:00;1;20:20;1;21:35
S002;136;28.0;186.36;9.0;0;0;0;1;06:00;0.08;1.67;0.0;1.75;SANTOSBR;BERÇO TECON 3;1;07:45;1;08:55;1;08:55;1;21:00;1;22:00;1;22:50
S002;137;32.0;258.89;9.0;0;0;0;1;01:42;0.03;4.97;0.0;5.0;SANTOSBR;BERÇO TECON 1.1;1;06:45;1;07:35;1;07:35;1;09:00;1;09:20;1;10:30
S002;138;32.0;199.9;7.6;0;0;0;1;03:12;1.25;0.0;1.42;2.67;TEAG;BERÇO TEAG;1;05:55;1;07:00;1;07:00;5;06:00;5;06:20;5;07:05
S002;139;32.0;190.0;11.71;0;0;0;1;17:00;0.08;0.0;0.42;0.5;TGRAO;BERÇO OUT 2;1;17:30;1;18:45;1;18:45;1;23:00;1;23:00;1;23:55
S002;140;28.0;179.87;8.5;0;0;0;1;08:45;63.25;0.0;0.0;63.25;TIPLAM;BERÇO TIPLAM 2;4;00:00;4;01:55;4;01:55;4;21:40;5;00:00;5;02:25
S002;141;32.31;189.99;9.18;0;0;0;1;07:00;16.67;0.0;0.83;17.5;USIMINAS;BERÇO USIMINAS 3;2;00:30;2;02:25;2;02:25;7;08:10;7;08:10;7;10:25
S002;142;38.0;230.0;10.92;0;0;0;2;01:10;0.5;0.0;0.0;0.5;ADM;BERÇO ARM 39;2;01:40;2;02:40;2;02:40;3;08:55;3;11:30;3;12:10
S002;143;37.0;228.41;7.42;0;0;0;2;18:24;56.42;0.0;0.0;56.42;AUTORIDADE_OUT;BERÇO ARM 20/21;5;02:50;5;04:10;5;04:10;8;00:40;7;23:35;8;00:35
S002;144;48.0;299.88;9.8;1;0;0;2;23:50;0.17;0.0;1.58;1.75;BTP;BERÇO BTP 2;3;01:35;3;03:25;3;03:25;3;15:05;3;15:05;3;16:35
S002;145;23.0;164.34;8.0;0;0;0;2;03:00;0.08;0.0;0.42;0.5;DOW;BERÇO DOW;2;03:30;2;04:10;2;04:10;3;05:15;3;07:15;3;08:15
S002;146;40.0;306.0;12.0;0;0;0;2;12:30;36.58;19.83;0.75;57.17;DPW;BERÇO DPW 2;4;21:40;4;23:15;4;23:15;5;18:30;6;02:15;6;03:30
S002;147;36.0;199.99;9.85;0;0;0;2;14:15;3.17;0.0;0.83;4.0;OUTROS_MACUCO;BERÇO ARM 35P1;2;18:15;2;19:20;2;19:20;3;19:15;3;20:05;3;20:50
S002;148;32.0;180.0;7.4;0;0;0;2;18:00;175.42;2.42;21.58;199.42;OUTROS_LIBRA;BERÇO ARM 34;11;01:25;11;02:35;11;02:35;17;06:20;17;06:20;17;07:10
