SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;OPERATION_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
S012;126;32.0;189.99;12.24;0;0;0;0;15:30;344.5;0.0;0.08;344.58;0.0;0.0;0.0;202.5;16;23:23;25;13:00;BERÇO TERMAG;TERMAG;BERÇO TERMAG;15;00:05;15;00:50;15;00:50;23;11:20;;;;;;
S012;128;46.0;334.8;10.1;0;0;0;0;19:12;52.5;0.0;1.58;54.08;3.25;0.75;4.0;31.166666666666668;4;10:00;5;19:10;BERÇO DPW 1;DPW - CGC;BERÇO DPW 2;3;01:20;3;02:55;3;02:55;4;10:05;4;14:05;4;15:20
S012;129;45.0;299.9;10.1;0;0;0;0;20:54;3.08;0.0;0.08;3.17;0.0;0.17;0.17;17.416666666666668;2;13:20;3;08:57;BERÇO BTP 3;BTP;BERÇO BTP 3;1;00:05;1;01:30;1;01:30;1;18:55;1;19:05;1;20:50
S012;130;48.0;299.99;11.3;0;0;0;1;00:45;1.67;14.25;1.08;17.0;1.17;2.33;3.5;16.5;2;04:25;2;22:13;BERÇO BTP 2;BTP;BERÇO BTP 3;1;17:45;1;19:10;1;19:10;2;11:40;2;15:10;2;16:55
S012;131;32.0;225.0;9.25;0;0;0;1;01:10;1.67;15.0;0.0;16.67;3.5;0.0;3.5;60.833333333333336;1;09:00;3;23:36;BERÇO DPW 3;DPW - CGNC;BERÇO DPW 4;1;17:50;1;19:20;1;19:20;4;08:10;4;11:40;4;12:50
S012;132;32.0;258.89;9.0;0;0;0;1;01:42;1.67;14.58;0.0;16.25;0.0;0.0;0.0;2.8333333333333335;1;11:17;1;21:30;BERÇO TECON 3;SANTOSBR;BERÇO TECON 1.2;1;18:00;1;18:50;1;18:50;1;21:40;1;21:40;1;22:50
S012;133;32.0;199.9;7.6;0;0;0;1;03:12;0.33;0.0;0.0;0.33;5.42;0.0;5.42;98.58333333333333;2;20:35;7;02:47;BERÇO TEAG;TEAG;BERÇO TEAG;1;03:35;1;04:40;1;04:40;5;07:15;5;12:40;5;13:25
S012;134;28.0;186.36;9.0;0;0;0;1;06:00;0.0;0.5;0.0;0.5;0.0;0.0;0.0;13.333333333333334;1;08:25;1;22:30;BERÇO TECON 1.1;SANTOSBR;BERÇO TECON 1.1;1;06:30;1;07:40;1;07:40;1;21:00;1;21:00;1;21:50
S012;135;38.0;333.33;8.6;0;1;0;1;06:25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.416666666666666;1;07:25;1;18:50;BERÇO OUT 1;CONCAIS;BERÇO OUT 1;1;06:25;1;07:40;1;07:40;1;19:05;1;19:05;1;20:00
S012;136;32.31;189.99;9.18;0;0;0;1;07:00;16.67;0.0;0.83;17.5;0.0;0.0;0.0;128.66666666666666;1;16:45;7;06:03;BERÇO USIMINAS 3;USIMINAS;BERÇO USIMINAS 3;2;00:30;2;02:25;2;02:25;7;11:05;7;11:05;7;13:20
S012;137;28.0;179.87;8.5;0;0;0;1;08:45;63.25;0.0;0.0;63.25;0.0;3.92;3.92;25.75;5;02:48;6;09:20;BERÇO TIPLAM 1;TIPLAM - GL;BERÇO TIPLAM 1;4;00:00;4;01:55;4;01:55;5;03:40;5;07:35;5;10:00
S012;138;32.0;231.0;12.0;0;0;0;1;13:54;3.08;8.75;17.5;29.33;0.0;0.17;0.17;15.25;2;13:42;3;08:24;BERÇO DPW 1;DPW - CGC;BERÇO DPW 1;2;19:15;2;20:30;2;20:30;3;11:45;3;11:55;3;13:30
S012;139;30.0;199.2;11.15;0;0;0;1;15:00;0.33;0.0;1.92;2.25;0.0;1.42;1.42;13.666666666666666;1;18:25;2;13:32;BERÇO ARM 35P2;OUTROS_MACUCO;BERÇO ARM 35P2;1;17:15;1;18:25;1;18:25;2;08:05;2;09:30;2;10:20
S012;140;32.0;199.98;6.48;0;0;0;1;15:36;104.33;0.0;0.17;104.5;0.0;0.0;0.0;75.5;7;19:05;11;02:10;BERÇO ARM 37;AUTORIDADE_PONTA;BERÇO ARM 37;6;00:10;6;01:10;6;01:10;9;04:40;9;04:40;9;05:20
