ROUTE_ID;SEGMENT;POINT;X;Y;IS_BERTH_ROUTE
61;1;SEG12;-23.9268202;-46.3298809;True
61;2;BERÇO IB SP;-23.9246082;-46.330536;True
62;1;SEG12;-23.9268202;-46.3298809;True
62;2;BERÇO Ageo I;-23.9231747;-46.3335893;True
63;1;NOT FOUND;0;0;True
63;2;BERÇO IB-OE;0;0;True
64;1;SEG13;-23.920073;-46.34449359999999;True
64;2;BERÇO BTP 3;-23.9214119;-46.347313;True
65;1;SEG13;-23.920073;-46.34449359999999;True
65;2;BERÇO BTP 2;-23.9207254;-46.3509286;True
66;1;SEG13;-23.920073;-46.34449359999999;True
66;2;BERÇO BTP 1;-23.9201173;-46.3543726;True
67;1;SEG14;-23.9176407;-46.3565528;True
67;2;BERÇO AL 04;-23.9198477;-46.3612281;True
68;1;SEG14;-23.9176407;-46.3565528;True
68;2;BERÇO AL 03;-23.9190533;-46.36094919999999;True
69;1;SEG14;-23.9176407;-46.3565528;True
69;2;BERÇO AL 02;-23.9185237;-46.36344900000001;True
70;1;SEG14;-23.9176407;-46.3565528;True
70;2;BERÇO AL 01;-23.9180627;-46.3661849;True
71;1;SEG14;-23.9176407;-46.3565528;True
71;2;BERÇO TRSP;-23.9124129;-46.3651629;True
72;1;SEG17;-23.88006; -46.37615;True
72;2;BERÇO TIPLAM 4;-23.8800272;-46.37449680000001;True
73;1;SEG17;-23.88006; -46.37615;True
73;2;BERÇO TIPLAM 3;-23.8773783;-46.3739174;True
74;1;SEG17;-23.88006; -46.37615;True
74;2;BERÇO TIPLAM 2;-23.8753678;-46.3730152;True
75;1;SEG17;-23.88006; -46.37615;True
75;2;BERÇO TIPLAM 1;-23.8725612;-46.37191109999999;True
76;1;SEG17;-23.88006; -46.37615;True
76;2;BERÇO USIMINAS 1;-23.8710766;-46.3736691;True
77;1;SEG17;-23.88006; -46.37615;True
77;2;BERÇO USIMINAS 2;-23.8709;-46.37523550000001;True
78;1;SEG17;-23.88006; -46.37615;True
78;2;BERÇO USIMINAS 3;-23.8710373;-46.3771774;True
79;1;SEG17;-23.88006; -46.37615;True
79;2;BERÇO USIMINAS 4;-23.8715475;-46.3783147;True
80;1;SEG17;-23.88006; -46.37615;True
80;2;BERÇO USIMINAS 5;-23.8725679;-46.3780358;True
81;1;SEG7;-23.9600892;-46.30148880000001;True
81;2;BERÇO ARM FRIG;-23.952438;-46.3098238;True
82;1;SEG9;-23.9419635;-46.3104618;True
82;2;BERÇO ARM 15;-23.93942;-46.31338;True
83;1;SEG2;-23.99323053375113;-46.30842508886263;True
83;2;BERÇO SAIPEM 1;-23.99454;-46.29747;True
84;1;SEG2;-23.99323053375113;-46.30842508886263;True
84;2;BERÇO SAIPEM 2;-23.99615;-46.299;True
85;1;SEG2;-23.99323053375113;-46.30842508886263;True
85;2;BERÇO SAIPEM 3;-23.99506;-46.29547;True
86;1;SEG8;-23.9483566;-46.3090026;True
86;2;BERÇO 22;-23.94744;-46.31202;True
87;1;SEG7;-23.9600892;-46.30148880000001;True
87;2;BERÇO OUT 1;-23.95844;-46.30584;True
88;1;SEG12;-23.9268202;-46.3298809;True
88;2;BERÇO IB OE;-23.92254;-46.33424;True
89;1;SEG7;-23.9600892;-46.30148880000001;True
89;2;BERÇO OUT 2/3;-23.9566;-46.3071;True
90;1;SEG2;-23.99323053375113;-46.30842508886263;True
90;2;BERÇO SAIPEM 1/2;-23.99454;-46.29747;True
91;1;SEG6;-23.9699716;-46.2930989;True
91;2;BERÇO ARM 32/33;-23.96583;-46.29991;True
