SCENARIO_ID;ARRIVAL_ID;BEAM;LENGTH;DRAFT;IS_NEW_PANAMAX;IS_PASSENGER;IS_RORO;ARRIVAL_D;ARRIVAL_H;METOCEAN_QUEUE_TIME;BERTH_QUEUE_TIME;CHANNEL_QUEUE_TIME;TOTAL_QUEUE_TIME;METOCEAN_UNDOCK_QUEUE_TIME;CHANNEL_UNDOCK_QUEUE_TIME;TOTAL_UNDOCK_QUEUE_TIME;NON_P_DOCKED_DURATION;P_DOCKED_DURATION;DOCKED_DURATION;REAL_DOCK_D;REAL_DOCK_H;REAL_UNDOCK_D;REAL_UNDOCK_H;REAL_BERTH;TERMINAL;MARKET_CATEGORY;SIZE_CATEGORY;BERTH;TRANSIT_IN_START_D;TRANSIT_IN_START_H;BERTH_ARRIVAL_D;BERTH_ARRIVAL_H;OPERATION_START_D;OPERATION_START_H;OPERATION_END_D;OPERATION_END_H;BERTH_DEPARTURE_D;BERTH_DEPARTURE_H;TRANSIT_OUT_END_D;TRANSIT_OUT_END_H
2SemDragagem2030;3562;23.0;225.0;0.0;0;0;0;1;15:40;0.0;0.0;4.17;4.17;5.75;0.92;6.67;4.32;73.25;66.58;;;;;;TIPLAM - GSA - E;GSA - E;;BERÇO TIPLAM 2;1;19:50;1;22:20;2;01:54;4;17:40;4;23:35;5;01:30
2SemDragagem2030;3563;23.0;225.0;0.0;0;0;0;1;15:40;0.0;0.0;5.0;5.0;6.17;0.67;6.83;3.13;72.17;65.33;;;;;;TIPLAM - GSA - E;GSA - E;;BERÇO TIPLAM 3;1;20:40;1;23:10;2;01:32;4;17:15;4;23:20;5;01:15
2SemDragagem2030;3564;23.0;195.0;10.25;0;0;0;1;15:44;0.0;0.0;5.75;5.75;0.0;0.0;0.0;2.37;87.42;87.42;;;;;;TIPLAM - GSM - I;GSM - I;;BERÇO TIPLAM 4;1;21:30;1;23:30;2;01:07;5;15:40;5;14:55;5;17:20
2SemDragagem2030;3565;23.0;185.0;0.0;0;0;0;1;16:44;0.0;4.67;0.33;5.0;0.0;0.0;0.0;5.74;35.75;35.75;;;;;;TRANSPETRO;GL;;BERÇO AL 01;1;21:45;1;23:40;2;04:39;3;12:10;3;11:25;3;12:55
2SemDragagem2030;3566;23.0;185.0;10.75;0;0;0;1;17:43;0.0;2.33;0.0;2.33;0.0;1.08;1.08;0.75;64.75;63.67;;;;;;VOPAK;GL;;BERÇO AL 03;1;20:05;1;21:40;1;21:40;4;14:05;4;14:25;4;16:15
2SemDragagem2030;3567;36.0;225.0;0.0;0;0;0;2;17:52;2.17;3.92;0.0;6.08;0.0;2.42;2.42;4.15;105.58;103.17;;;;;;ARAUCO;CGNC;;BERÇO ARAUCO 1;3;00:00;3;02:10;3;05:34;7;10:05;7;11:45;7;13:30
2SemDragagem2030;3568;23.0;155.0;9.75;0;0;0;2;16:46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.17;47.08;47.08;;;;;;AGEO_TERMINAIS;GL;;BERÇO Ageo I;2;16:50;2;18:15;2;18:40;4;18:05;4;17:20;4;19:00
2SemDragagem2030;3569;23.0;275.0;13.75;0;0;0;2;17:49;39.67;0.0;2.08;41.75;2.17;0.0;2.17;3.21;20.08;17.92;;;;;;BTP;CGC;;BERÇO BTP 1;4;11:35;4;13:25;4;15:52;5;08:05;5;09:30;5;11:15
2SemDragagem2030;3570;23.0;305.0;13.75;0;0;0;2;17:20;40.17;0.0;0.0;40.17;0.08;0.08;0.17;1.87;22.75;22.58;;;;;;BTP;CGC;;BERÇO BTP 2;4;09:30;4;11:20;4;12:27;5;10:40;5;10:05;5;11:50
2SemDragagem2030;3571;23.0;325.0;13.75;0;0;0;2;17:48;39.67;0.0;1.33;41.0;22.17;0.33;22.5;5.11;48.33;25.83;;;;;;BTP;CGC;;BERÇO BTP 3;4;10:50;4;12:40;4;17:01;5;15:15;6;13:00;6;14:45
2SemDragagem2030;3572;23.0;205.0;0.0;0;0;0;2;13:45;0.0;0.0;0.0;0.0;0.33;0.67;1.0;1.22;79.42;78.42;;;;;;CITROSUCO;GL;;BERÇO ARM 29;2;13:45;2;15:05;2;15:33;5;22:15;5;22:30;5;23:25
2SemDragagem2030;3573;23.0;225.0;0.0;0;0;0;2;16:48;12.25;25.33;19.67;57.25;3.17;0.08;3.25;8.37;80.67;77.42;;;;;;COFCO;GSA - E;;BERÇO ARM 12A;5;02:05;5;03:35;5;11:12;8;09:45;8;12:15;8;13:20
2SemDragagem2030;3574;23.0;225.0;0.0;0;0;0;2;19:53;34.25;43.0;60.25;137.5;0.0;0.0;0.0;3.95;73.0;73.0;;;;;;COFCO;GSA - E;;BERÇO ARM 12A;8;13:25;8;14:55;8;18:07;11;16:40;11;15:55;11;17:00
2SemDragagem2030;3575;23.0;275.0;12.25;0;0;0;2;18:50;0.0;1.5;0.0;1.5;0.0;0.0;0.0;2.34;20.25;20.25;;;;;;DPW - CGC;CGC;;BERÇO DPW 2;2;20:20;2;22:00;2;23:35;3;19:00;3;18:15;3;19:50
2SemDragagem2030;3576;23.0;275.0;12.25;0;0;0;2;18:50;0.0;2.67;0.0;2.67;0.0;0.08;0.08;2.06;20.0;19.92;;;;;;DPW - CGC;CGC;;BERÇO DPW 1;2;21:30;2;22:50;3;00:08;3;19:30;3;18:50;3;20:25
2SemDragagem2030;3577;23.0;175.0;0.0;0;0;0;2;18:51;1.42;29.25;37.25;67.92;0.0;0.0;0.0;7.68;34.75;34.75;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 19;5;14:50;5;16:15;5;23:10;7;03:45;7;03:00;7;04:00
2SemDragagem2030;3578;23.0;195.0;11.25;0;0;0;2;17:46;0.0;0.0;0.25;0.25;1.33;0.25;1.58;1.88;78.83;77.25;;;;;;HIDROVIAS;GSM - I;;BERÇO ARM 22/23;2;18:05;2;19:10;2;20:17;6;01:10;6;02:00;6;03:20
2SemDragagem2030;3579;36.0;225.0;0.0;0;0;0;2;16:58;1.25;29.75;14.17;45.17;0.0;0.0;0.0;5.24;205.25;205.25;;;;;;NST - CGNC;CGNC;;BERÇO ARM 31;4;14:10;4;15:25;4;19:54;13;05:25;13;04:40;13;05:30
2SemDragagem2030;3580;23.0;265.0;12.75;0;0;0;2;19:52;0.0;0.0;0.92;0.92;0.0;0.0;0.0;2.37;18.0;18.0;;;;;;SANTOSBR;CGC;;BERÇO TECON 2;2;20:50;2;22:05;2;23:42;3;16:50;3;16:05;3;17:15
2SemDragagem2030;3581;23.0;225.0;0.0;0;0;0;2;16:46;0.0;0.0;0.25;0.25;0.0;1.0;1.0;2.0;91.42;90.42;;;;;;TEAG;GSA - E;;BERÇO TEAG;2;17:05;2;18:15;2;19:30;6;13:25;6;13:40;6;14:25
2SemDragagem2030;3582;23.0;185.0;12.75;0;0;0;2;17:51;0.0;0.42;0.0;0.42;0.0;0.0;0.0;2.65;92.08;92.08;;;;;;TERMAG;GSM - I;;BERÇO TERMAG;2;18:20;2;19:10;2;21:04;6;16:00;6;15:15;6;16:20
2SemDragagem2030;3583;23.0;225.0;0.0;0;0;0;2;16:52;32.92;27.75;53.67;114.33;0.0;0.0;0.0;9.02;120.17;120.17;;;;;;TES;GSA - E;;BERÇO ARM 38;7;11:15;7;12:20;7;20:36;12;13:15;12;12:30;12;13:10
2SemDragagem2030;3584;23.0;225.0;0.0;0;0;0;2;15:46;0.0;0.0;0.33;0.33;0.0;0.0;0.0;2.15;113.25;113.25;;;;;;TES;GSA - E;;BERÇO ARM 38;2;16:10;2;17:15;2;18:39;7;11:15;7;10:30;7;11:10
2SemDragagem2030;3585;23.0;225.0;0.0;0;0;0;2;17:49;0.33;0.0;3.58;3.92;0.0;0.83;0.83;1.8;64.42;63.58;;;;;;TGRAO;GSA - E;;BERÇO OUT 2;2;21:45;2;23:05;3;00:08;5;15:25;5;15:30;5;16:25
2SemDragagem2030;3586;23.0;225.0;13.25;0;0;0;2;17:50;0.0;0.0;0.0;0.0;0.0;2.0;2.0;5.0;111.5;109.5;;;;;;TIPLAM - GSM - I;GSM - I;;BERÇO TIPLAM 1;2;17:50;2;20:20;3;00:35;7;10:35;7;11:50;7;13:45
2SemDragagem2030;3587;23.0;165.0;9.75;0;0;0;2;18:53;1.58;3.5;0.25;5.33;0.25;2.75;3.0;0.75;45.33;42.33;;;;;;VOPAK;GL;;BERÇO AL 04;3;00:15;3;01:50;3;01:50;4;20:55;4;23:10;5;01:00
2SemDragagem2030;3588;23.0;225.0;0.0;0;0;0;2;19:55;0.17;1.92;0.0;2.08;0.0;1.17;1.17;1.1;57.42;56.25;;;;;;XXXIX;GSA - E;;BERÇO ARM 37;2;22:00;2;23:05;2;23:26;5;08:05;5;08:30;5;09:10
2SemDragagem2030;3589;36.0;225.0;0.0;0;0;0;3;21:04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.4;106.42;106.42;;;;;;ARAUCO;CGNC;;BERÇO ARAUCO 2;3;21:05;3;23:15;4;05:54;8;10:25;8;09:40;8;11:25
2SemDragagem2030;3590;23.0;185.0;11.75;0;0;0;3;21:56;0.0;0.0;0.0;0.0;0.0;0.75;0.75;1.16;66.33;65.58;;;;;;AGEO_TERMINAIS;GL;;BERÇO IB OE;3;22:00;3;23:25;3;23:49;6;17:45;6;17:45;6;19:25
2SemDragagem2030;3591;23.0;295.0;14.5;0;0;0;3;23:52;23.33;3.58;9.08;36.0;0.0;1.25;1.25;1.87;23.83;22.58;;;;;;BTP;CGC;;BERÇO BTP 2;5;11:55;5;13:45;5;14:52;6;13:05;6;13:35;6;15:20
2SemDragagem2030;3592;23.0;225.0;0.0;0;0;0;3;20:58;52.67;27.0;108.83;188.5;0.0;0.0;0.0;17.01;86.0;86.0;;;;;;COFCO;GSA - E;;BERÇO ARM 12A;11;17:30;11;19:00;12;11:15;15;09:45;15;09:00;15;10:05
2SemDragagem2030;3593;23.0;225.0;0.0;0;0;0;3;20:57;68.5;48.0;162.17;278.67;0.0;0.0;0.0;4.31;73.33;73.33;;;;;;COFCO;GSA - E;;BERÇO ARM 12A;15;11:40;15;13:10;15;16:43;18;15:15;;;;;;
2SemDragagem2030;3594;23.0;225.0;0.0;0;0;0;3;22:45;0.0;1.25;3.83;5.08;0.0;0.0;0.0;4.24;58.33;58.33;;;;;;CUTRALE - GSA - E;GSA - E;;BERÇO CUTRALE;4;03:50;4;04:55;4;08:24;6;16:00;6;15:15;6;15:55
2SemDragagem2030;3595;23.0;225.0;0.0;0;0;0;3;21:58;12.92;2.67;32.25;47.83;5.58;1.75;7.33;1.93;62.58;55.25;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 16/17;5;21:50;5;23:20;6;00:30;8;07:20;8;13:55;8;15:00
2SemDragagem2030;3596;23.0;205.0;11.75;0;0;0;3;22:58;0.0;0.33;0.0;0.33;0.0;0.0;0.0;2.14;19.0;19.0;;;;;;SANTOSBR;CGC;;BERÇO TECON 1.1;3;23:20;4;00:35;4;01:58;4;20:20;4;19:35;4;20:45
2SemDragagem2030;3597;23.0;265.0;13.25;0;0;0;3;22:40;0.0;0.0;0.0;0.0;0.0;1.92;1.92;3.77;21.33;19.42;;;;;;SANTOSBR;CGC;;BERÇO TECON 2;3;22:40;3;23:55;4;02:56;4;20:05;4;21:15;4;22:25
2SemDragagem2030;3598;23.0;295.0;13.75;0;0;0;3;22:30;17.83;0.0;6.33;24.17;1.75;0.17;1.92;2.77;26.0;24.08;;;;;;SANTOSBR;CGC;;BERÇO TECON 2;4;22:40;4;23:55;5;01:56;6;00:45;6;01:55;6;03:05
2SemDragagem2030;3599;43.0;339.0;14.0;0;0;0;3;22:15;49.25;0.08;13.08;62.42;4.08;0.08;4.17;4.24;34.33;30.17;;;;;;SANTOSBR;CGC;;BERÇO TECON 3;6;12:40;6;13:55;6;17:24;7;20:50;8;00:15;8;01:25
2SemDragagem2030;3600;23.0;225.0;0.0;0;0;0;3;23:40;1.33;0.0;2.58;3.92;0.0;0.17;0.17;1.25;79.5;79.33;;;;;;TEG;GSA - E;;BERÇO TEG;4;03:35;4;04:45;4;05:15;7;12:50;7;12:15;7;13:00
2SemDragagem2030;3601;23.0;195.0;10.25;0;0;1;3;22:06;0.0;1.83;1.5;3.33;0.0;2.42;2.42;3.95;27.33;24.92;;;;;;TEV;RORO;;BERÇO TEV;4;01:30;4;02:50;4;06:02;5;04:30;5;06:10;5;07:25
2SemDragagem2030;3602;23.0;225.0;0.0;0;0;0;3;23:41;0.92;1.83;23.33;26.08;1.75;0.58;2.33;3.88;68.42;66.08;;;;;;TIPLAM - GSA - E;GSA - E;;BERÇO TIPLAM 3;5;01:50;5;04:20;5;07:27;7;23:10;8;00:45;8;02:40
2SemDragagem2030;3603;23.0;195.0;11.25;0;0;0;3;19:55;0.42;5.67;24.92;31.0;0.0;0.33;0.33;10.98;96.33;96.0;;;;;;TIPLAM - GSM - I;GSM - I;;BERÇO TIPLAM 2;5;02:55;5;04:55;5;15:08;9;05:40;9;05:15;9;07:40
2SemDragagem2030;3604;23.0;225.0;13.75;0;0;0;3;19:55;27.67;1.33;16.5;45.5;0.0;0.0;0.0;5.08;109.58;109.58;;;;;;TIPLAM - GSM - I;GSM - I;;BERÇO TIPLAM 4;5;17:25;5;19:25;5;23:44;10;09:45;10;09:00;10;11:25
2SemDragagem2030;3605;23.0;175.0;9.75;0;0;0;3;20:54;13.25;0.0;0.42;13.67;0.0;0.0;0.0;40.77;131.5;131.5;;;;;;USIMINAS;GSM - E;;BERÇO USIMINAS 3;4;10:35;4;12:35;6;04:36;10;00:50;10;00:05;10;02:20
2SemDragagem2030;3606;36.0;225.0;0.0;0;0;0;4;01:05;0.0;0.0;1.42;1.42;0.0;0.0;0.0;1.07;100.08;100.08;;;;;;ARAUCO;CGNC;;BERÇO ARAUCO 3;4;02:30;4;04:40;4;04:59;8;09:30;8;08:45;8;10:45
2SemDragagem2030;3607;23.0;155.0;0.0;0;0;0;4;01:03;0.0;0.0;1.67;1.67;0.0;0.67;0.67;1.16;47.75;47.08;;;;;;AGEO_TERMINAIS;GL;;BERÇO IB BC;4;02:45;4;04:30;4;04:54;6;04:20;6;04:15;6;05:35
2SemDragagem2030;3608;23.0;255.0;10.25;0;0;0;4;01:02;7.5;11.17;35.5;54.17;0.0;0.0;0.0;1.36;16.08;16.08;;;;;;BTP;CGC;;BERÇO BTP 1;6;07:15;6;09:05;6;09:41;7;01:55;7;01:10;7;02:55
2SemDragagem2030;3609;23.0;295.0;10.25;0;0;0;4;01:04;7.5;11.17;44.67;63.33;0.0;1.5;1.5;2.82;25.0;23.5;;;;;;BTP;CGC;;BERÇO BTP 2;6;16:25;6;18:15;6;20:19;7;18:30;7;19:15;7;21:00
2SemDragagem2030;3610;23.0;305.0;9.25;0;0;0;4;00:00;0.25;10.33;21.25;31.83;0.0;0.0;0.0;2.65;23.33;23.33;;;;;;BTP;CGC;;BERÇO BTP 1;5;07:50;5;09:40;5;11:34;6;09:45;6;09:00;6;10:45
2SemDragagem2030;3611;23.0;165.0;9.75;0;0;0;4;00:02;0.0;0.0;1.67;1.67;0.0;0.33;0.33;4.44;140.67;140.33;;;;;;BUNGE;GSA - I;;BERÇO ARM 30;4;01:45;4;02:40;4;06:21;9;23:45;9;23:20;10;00:30
2SemDragagem2030;3612;23.0;225.0;0.0;0;0;0;4;02:05;24.5;37.83;34.58;96.92;0.0;0.0;0.0;10.86;79.83;79.83;;;;;;COFCO;GSA - E;;BERÇO ARM 13/14;8;03:00;8;04:30;8;14:36;11;13:05;11;12:20;11;13:25
2SemDragagem2030;3615;23.0;185.0;0.0;0;0;0;4;05:10;0.0;10.33;0.0;10.33;0.0;1.92;1.92;3.76;45.17;43.25;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;4;15:30;4;16:55;4;19:55;6;12:55;6;14:05;6;15:05
2SemDragagem2030;3616;23.0;225.0;0.0;0;0;0;4;05:09;15.83;16.75;26.92;59.5;4.58;0.0;4.58;1.96;65.42;60.83;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;6;16:40;6;18:05;6;19:17;9;07:40;9;11:30;9;12:30
2SemDragagem2030;3617;23.0;225.0;0.0;0;0;0;4;05:11;35.0;36.58;55.75;127.33;0.0;0.0;0.0;2.37;61.25;61.25;;;;;;COPESUCAR;GSA - E;;BERÇO ARM 20/21;9;12:35;9;14:00;9;15:37;12;04:00;12;03:15;12;04:15
2SemDragagem2030;3618;23.0;185.0;8.25;0;0;0;4;02:05;0.0;0.0;0.08;0.08;0.0;0.17;0.17;2.35;15.92;15.75;;;;;;DPW - CGC;CGC;;BERÇO DPW 1;4;02:10;4;03:30;4;05:06;4;20:00;4;19:25;4;21:00
2SemDragagem2030;3619;36.0;225.0;0.0;0;0;0;4;00:01;0.0;0.0;2.92;2.92;0.0;0.08;0.08;9.23;73.33;73.25;;;;;;DPW - CGNC;CGNC;;BERÇO DPW 3;4;03:00;4;04:35;4;13:03;7;06:35;7;05:55;7;07:05
2SemDragagem2030;3620;23.0;225.0;0.0;0;0;0;4;02:06;20.25;21.67;32.0;73.92;0.0;0.0;0.0;2.74;56.0;56.0;;;;;;ELEVACOES;GSA - E;;BERÇO ARM 19;7;04:05;7;05:30;7;07:29;9;14:15;9;13:30;9;14:30
2SemDragagem2030;3621;23.0;185.0;0.0;0;0;0;4;02:06;0.0;0.58;1.75;2.33;0.0;0.0;0.0;3.53;47.0;47.0;;;;;;GRANEL;GL;;BERÇO IB SP;4;04:30;4;06:15;4;09:01;6;06:00;6;05:15;6;06:35
2SemDragagem2030;3622;23.0;185.0;9.25;0;0;0;4;03:01;14.08;49.0;115.33;178.42;0.0;0.0;0.0;1.68;296.83;296.83;;;;;;NITA;GSA - I;;BERÇO ARM 13/14;11;13:30;11;14:40;11;15:35;24;00:15;;;;;;
2SemDragagem2030;3623;23.0;175.0;0.0;0;0;0;4;05:02;7.25;18.92;22.58;48.75;0.0;0.0;0.0;1.39;139.33;139.33;;;;;;NST - GL;GL;;BERÇO ARM 29;6;05:50;6;07:10;6;07:48;12;03:15;12;02:30;12;03:25
2SemDragagem2030;3624;23.0;195.0;8.25;0;0;0;4;01:02;0.0;0.0;2.17;2.17;0.0;3.92;3.92;2.72;23.5;19.58;;;;;;SANTOSBR;CGC;;BERÇO TECON 1.2;4;03:15;4;04:30;4;06:28;5;00:50;5;04:00;5;05:10
